sample_id	sample_name	raw_path	region
"DA433_ASAP5_ctrl_NP16-161_SN"	"DA433_ASAP5_ctrl_NP16-161_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP5_Ctl_NP16-161"	"SN"
"DA473_ASAP38_PD_NP19-23_SN"	"DA473_ASAP38_PD_NP19-23_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/ASAP_Project_Raw_Data_pt2/seq134B_135_137_139/fastq/ASAP/DA473-ASAP38-PD-NP19-23-Seq134-11"	"SN"
"DA475_ASAP2_PD_NP16-25_SN"	"DA475_ASAP2_PD_NP16-25_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP2_PD_NP16-25"	"SN"
"DA479_ASAP7_ctrl_NP16-21_SN"	"DA479_ASAP7_ctrl_NP16-21_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP7_Ctl_NP16-21"	"SN"
"DA487_ASAP8_ctrl_PT231_SN"	"DA487_ASAP8_ctrl_PT231_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP8_Ctl_PT231"	"SN"
"DA489_ASAP3_PD_P73_SN"	"DA489_ASAP3_PD_P73_SN"	"/path/to/backup/ysharma_fs5_jakobssonlab/ASAPProject_RawData/Seq093_Batch1_Oct2020/ASAP3_PD_P73"	"SN"
"DA511_ASAP21_PD_NP16-269_SN"	"DA511_ASAP21_PD_NP16-269_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/ASAP_Project_Raw_Data_pt2/seq134B_135_137_139/fastq/ASAP/DA511-ASAP21-PD-NP16-269-Seq139-3"	"SN"
"DA776_ASAP25_PD_NP17-94_SN"	"DA776_ASAP25_PD_NP17-94_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA776"	"SN"
"DA782_ASAP41_PD_NP19-108_SN"	"DA782_ASAP41_PD_NP19-108_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA782"	"SN"
"DA784_ASAP46_ctrl_NP17-256_SN"	"DA784_ASAP46_ctrl_NP17-256_SN"	"/path/to/backup/raquelgg_fs5_jakobssonlab/CTG_JGJSeq161_162_10x/220411_A00681_0640_AH5MCJDMXY/H5MCJDMXY/outs/fastq_path/10X/DA784"	"SN"
